outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Cr,Zr,,,Cr,C,MX2,0.167467505,0,1 4 8 6 36 6 18,Cr C Zr C Cr,0,
Ti,,,,Ti,C,MX1,0.998295605,1,0 3 15 6 25,Ti C Ti,1,
Sc,Ta,,,Sc,C,MX2,0.925533295,1,1 4 11 7 34 6 21,Sc C Ta C Sc,1,
Cr,Zr,,,Cr,N,MX2,0.942651093,1,1 4 8 7 36 7 18,Cr N Zr N Cr,0,
W,,Hf,Ti,Mo,C,MX3,0.000555806,0,2 5 10 7 47 7 55 6 19,W C Hf C Ti C Mo,0,
Mo,,Ti,Ti,Mo,N,MX3,0.998532295,1,2 5 9 7 45 7 55 7 19,Mo N Ti N Ti N Mo,1,
Sc,Ta,,,Mo,C,MX2,0.004184397,0,1 4 11 6 34 6 19,Sc C Ta C Mo,0,
Ta,,Hf,Ti,Ta,C,MX3,0.000483385,0,2 5 14 6 47 6 55 6 24,Ta C Hf C Ti C Ta,0,
Nb,Zr,,,Nb,C,MX2,0.628292501,1,1 4 13 6 36 6 23,Nb C Zr C Nb,1,
Mo,Sc,,,Mo,N,MX2,0.998436153,1,1 4 9 7 31 7 19,Mo N Sc N Mo,1,
Ta,,,,Ta,C,MX1,0.998167396,1,0 3 14 6 24,Ta C Ta,1,
Cr,V,,,Cr,C,MX2,0.70694828,1,1 4 8 6 32 6 18,Cr C V C Cr,1,
Nb,Zr,,,Mo,C,MX2,0.000456204,0,1 4 13 6 36 6 19,Nb C Zr C Mo,0,
Cr,V,,,Mo,C,MX2,0.000714789,0,1 4 8 6 32 6 19,Cr C V C Mo,0,
Mo,Zr,,,Mo,N,MX2,0.998518527,1,1 4 9 7 36 7 19,Mo N Zr N Mo,0,
V,,,,V,C,MX1,0.998219788,1,0 3 12 6 22,V C V,2,
Ta,,Ti,Ti,Mo,C,MX3,0.000440539,0,2 5 14 6 45 6 55 6 19,Ta C Ti C Ti C Mo,0,
W,Sc,,,Mo,C,MX2,0.000680954,0,1 4 10 6 31 6 19,W C Sc C Mo,0,
Mo,,Sc,Ti,Mo,C,MX3,0.000762708,0,2 5 9 6 41 6 55 6 19,Mo C Sc C Ti C Mo,0,
W,,Ti,Ti,W,C,MX3,0.998547614,1,2 5 10 6 45 6 55 6 20,W C Ti C Ti C W,1,
Ti,,,,Mo,N,MX1,0.000669757,0,0 3 15 7 19,Ti N Mo,0,
Cr,Nb,,,Cr,C,MX2,0.185452506,0,1 4 8 6 33 6 18,Cr C Nb C Cr,0,
Mo,,Ta,Ta,Mo,C,MX3,0.998463631,1,2 5 9 6 44 6 54 6 19,Mo C Ta C Ta C Mo,1,
Ta,Zr,,,Mo,C,MX2,0.000438304,0,1 4 14 6 36 6 19,Ta C Zr C Mo,0,
Sc,,Ti,Ti,Sc,C,MX3,0.62764734,1,2 5 11 7 45 7 55 6 21,Sc C Ti C Ti C Sc,0,
Sc,V,,,Sc,C,MX2,0.008036338,0,1 4 11 6 32 6 21,Sc C V C Sc,0,
Cr,,Ti,Ti,Mo,C,MX3,0.000561762,0,2 5 8 6 45 6 55 6 19,Cr C Ti C Ti C Mo,0,
W,,Ti,Ti,Mo,C,MX3,0.000519956,0,2 5 10 6 45 6 55 6 19,W C Ti C Ti C Mo,0,
Sc,,Ti,Ti,Mo,C,MX3,0.00057339,0,2 5 11 6 45 6 55 6 19,Sc C Ti C Ti C Mo,0,
Cr,Ta,,,Cr,C,MX2,0.030065671,0,1 4 8 6 34 6 18,Cr C Ta C Cr,0,
Sc,V,,,Mo,N,MX2,0.000905391,0,1 4 11 7 32 7 19,Sc N V N Mo,0,
Mo,Nb,,,Mo,N,MX2,0.998407662,1,1 4 9 7 33 7 19,Mo N Nb N Mo,1,
Sc,,Hf,Ti,Mo,C,MX3,0.000563624,0,2 5 11 6 47 6 55 6 19,Sc C Hf C Ti C Mo,0,
Sc,Nb,,,Mo,C,MX2,0.004094744,0,1 4 11 7 33 6 19,Sc C Nb C Mo,0,
W,Sc,,,W,C,MX2,0.998431981,1,1 4 10 6 31 6 20,W C Sc C W,1,
Cr,,Ti,Ti,Cr,C,MX3,0.976968825,1,2 5 8 6 45 6 55 6 18,Cr C Ti C Ti C Cr,1,
Cr,,,,Mo,C,MX1,0.000654718,0,0 3 8 6 19,Cr C Mo,0,
Ta,Hf,,,Mo,C,MX2,0.000439452,0,1 4 14 6 37 6 19,Ta C Hf C Mo,0,
Cr,,,,Cr,C,MX1,0.99854809,1,0 3 8 6 18,Cr C Cr,1,
Sc,Nb,,,Sc,C,MX2,0.695314825,1,1 4 11 6 33 6 21,Sc C Nb C Sc,1,
W,Ta,,,Mo,C,MX2,0.000641803,0,1 4 10 6 34 6 19,W C Ta C Mo,0,
Mo,Hf,,,Mo,N,MX2,0.998504043,1,1 4 9 7 37 7 19,Mo N Hf N Mo,1,
Nb,,,,Nb,C,MX1,0.998153865,1,0 3 13 6 23,Nb C Nb,1,
Ta,,Zr,Ti,Mo,C,MX3,0.00046523,0,2 5 14 6 46 6 55 6 19,Ta C Zr C Ti C Mo,0,
Nb,Ti,,,Mo,C,MX2,0.000452318,0,1 4 13 6 35 6 19,Nb C Ti C Mo,0,
Ta,Hf,,,Ta,C,MX2,0.998125255,1,1 4 14 6 37 6 24,Ta C Hf C Ta,1,
Sc,,Nb,Ti,Mo,C,MX3,0.000734005,0,2 5 11 6 43 6 55 6 19,Sc C Nb C Ti C Mo,0,
V,,,,Mo,C,MX1,0.000553629,0,0 3 12 6 19,V C Mo,0,
Sc,,Ta,Ti,Sc,C,MX3,0.000764431,0,2 5 11 6 44 6 55 6 21,Sc C Ta C Ti C Sc,0,
W,,,,W,C,MX1,0.998492956,1,0 3 10 6 20,W C W,1,
W,Nb,,,Mo,C,MX2,0.000644135,0,1 4 10 6 33 6 19,W C Nb C Mo,0,
W,V,,,Mo,C,MX2,0.000676029,0,1 4 10 6 32 6 19,W C V C Mo,0,
Mo,,Nb,Ti,Mo,N,MX3,0.001045423,0,2 5 9 7 43 7 55 7 19,Mo N Nb N Ti N Mo,0,
Cr,Hf,,,Mo,C,MX2,0.000568278,0,1 4 8 6 37 6 19,Cr C Hf C Mo,0,
Ta,Ti,,,Mo,C,MX2,0.00043366,0,1 4 14 6 35 6 19,Ta C Ti C Mo,0,
Ta,Ti,,,Ta,C,MX2,0.99816519,1,1 4 14 6 35 6 24,Ta C Ti C Ta,1,
Cr,Hf,,,Cr,C,MX2,0.166287407,0,1 4 8 6 37 6 18,Cr C Hf C Cr,0,
Ta,,Nb,Ti,Mo,C,MX3,0.000457935,0,2 5 14 6 43 6 55 6 19,Ta C Nb C Ti C Mo,0,
W,Ti,,,Mo,C,MX2,0.000532253,0,1 4 10 6 35 6 19,W C Ti C Mo,0,
Sc,Ti,,,Mo,C,MX2,0.000532624,0,1 4 11 6 35 6 19,Sc C Ti C Mo,0,
Cr,,Ta,Ti,Mo,C,MX3,0.000713423,0,2 5 8 6 44 6 55 6 19,Cr C Ta C Ti C Mo,0,
Sc,Hf,,,Sc,C,MX2,0.012990339,0,1 4 11 6 37 6 21,Sc C Hf C Sc,0,
W,,,,Mo,C,MX1,0.000618737,0,0 3 10 6 19,W C Mo,0,
Nb,,,,Nb,N,MX1,0.998058736,1,0 3 13 7 23,Nb N Nb,1,
Mo,,Nb,Nb,Mo,C,MX3,0.998473823,1,2 5 9 6 43 6 53 6 19,Mo C Nb C Nb C Mo,1,
Mo,,Hf,Hf,Mo,C,MX3,0.998559058,1,2 5 9 7 47 7 57 6 19,Mo C Hf C Hf C Mo,1,
Cr,Ti,,,Cr,N,MX2,0.998408854,1,1 4 8 7 35 7 18,Cr N Ti N Cr,1,
W,Zr,,,Mo,C,MX2,0.000531639,0,1 4 10 6 36 6 19,W C Zr C Mo,0,
Mo,,Ta,Ti,Mo,C,MX3,0.000741425,0,2 5 9 6 44 6 55 6 19,Mo C Ta C Ti C Mo,0,
W,,Sc,Sc,Mo,C,MX3,0.000694995,0,2 5 10 6 41 6 51 6 19,W C Sc C Sc C Mo,0,
Mo,Ta,,,Mo,N,MX2,0.998398602,1,1 4 9 7 34 7 19,Mo N Ta N Mo,1,
W,,,,W,N,MX1,0.998430073,1,0 3 10 7 20,W N W,1,
Mo,,Hf,Ti,Mo,C,MX3,0.000572703,0,2 5 9 7 47 7 55 6 19,Mo C Hf C Ti C Mo,0,
Ta,,,,Mo,N,MX1,0.000674628,0,0 3 14 7 19,Ta N Mo,0,
Ta,Zr,,,Mo,N,MX2,0.000603313,0,1 4 14 7 36 7 19,Ta N Zr N Mo,0,
Sc,Ti,,,Sc,C,MX2,0.16166012,0,1 4 11 6 35 6 21,Sc C Ti C Sc,0,
Cr,Sc,,,Mo,C,MX2,0.000721906,0,1 4 8 6 31 6 19,Cr C Sc C Mo,0,
Cr,Nb,,,Mo,C,MX2,0.000689973,0,1 4 8 6 33 6 19,Cr C Nb C Mo,0,
Cr,Zr,,,Mo,C,MX2,0.000570404,0,1 4 8 6 36 6 19,Cr C Zr C Mo,0,
Cr,,Hf,Ti,Mo,N,MX3,0.000753119,0,2 5 8 7 47 7 55 7 19,Cr N Hf N Ti N Mo,0,
Nb,Hf,,,Nb,C,MX2,0.63399595,1,1 4 13 6 37 6 23,Nb C Hf C Nb,0,
W,Zr,,,W,C,MX2,0.023482801,0,1 4 10 7 36 6 20,W C Zr C W,0,
W,Zr,,,Mo,N,MX2,0.000688674,0,1 4 10 7 36 7 19,W N Zr N Mo,0,
Ta,,Zr,Zr,Ta,C,MX3,0.998128355,1,2 5 14 6 46 6 56 6 24,Ta C Zr C Zr C Ta,1,
Sc,Zr,,,Mo,C,MX2,0.000551522,0,1 4 11 6 36 6 19,Sc C Zr C Mo,0,
Ta,Zr,,,Ta,C,MX2,0.998175263,1,1 4 14 6 36 6 24,Ta C Zr C Ta,1,
Sc,,Ta,Ta,Sc,C,MX3,0.050942987,0,2 5 11 6 44 6 54 6 21,Sc C Ta C Ta C Sc,1,
W,,Sc,Sc,W,C,MX3,0.017122105,0,2 5 10 6 41 6 51 6 20,W C Sc C Sc C W,1,
Nb,Ti,,,Nb,C,MX2,0.986981094,1,1 4 13 7 35 6 23,Nb C Ti C Nb,0,
Ta,,,,Ta,N,MX1,0.998084784,1,0 3 14 7 24,Ta N Ta,1,
V,,,,V,N,MX1,0.998137355,1,0 3 12 7 22,V N V,1,
Ta,,Zr,Ti,Ta,C,MX3,0.00272113,0,2 5 14 6 46 6 55 6 24,Ta C Zr C Ti C Ta,0,
Nb,Sc,,,Mo,C,MX2,0.000579966,0,1 4 13 6 31 6 19,Nb C Sc C Mo,0,
Ti,,,,Mo,C,MX1,0.000503231,0,0 3 15 6 19,Ti C Mo,0,
Cr,Ta,,,Mo,C,MX2,0.000683541,0,1 4 8 6 34 6 19,Cr C Ta C Mo,0,
W,,Nb,Ti,Mo,C,MX3,0.0007044,0,2 5 10 6 43 6 55 6 19,W C Nb C Ti C Mo,0,
Nb,,,,Mo,C,MX1,0.000523702,0,0 3 13 6 19,Nb C Mo,0,
Nb,Hf,,,Mo,C,MX2,0.000454832,0,1 4 13 7 37 6 19,Nb C Hf C Mo,0,
Sc,Zr,,,Sc,C,MX2,0.027284415,0,1 4 11 6 36 6 21,Sc C Zr C Sc,0,
Sc,Ti,,,Sc,N,MX2,0.928229749,1,1 4 11 7 35 7 21,Sc N Ti N Sc,0,
Ta,,Zr,Zr,Mo,C,MX3,0.000455443,0,2 5 14 6 46 6 56 6 19,Ta C Zr C Zr C Mo,0,
Cr,,,,Mo,N,MX1,0.000869253,0,0 3 8 7 19,Cr N Mo,0,
Mo,,Nb,Nb,Mo,N,MX3,0.998408854,1,2 5 9 7 43 7 53 7 19,Mo N Nb N Nb N Mo,1,
Cr,Ti,,,Cr,C,MX2,0.947500765,1,1 4 8 6 35 6 18,Cr C Ti C Cr,1,
Ta,Hf,,,Ta,N,MX2,0.998075008,1,1 4 14 7 37 7 24,Ta N Hf N Ta,1,
Ta,Zr,,,Ta,N,MX2,0.998105884,1,1 4 14 7 36 7 24,Ta N Zr N Ta,1,
Cr,Nb,,,Mo,N,MX2,0.000904262,0,1 4 8 7 33 7 19,Cr N Nb N Mo,0,
Nb,,,,Mo,N,MX1,0.000682636,0,0 3 13 7 19,Nb N Mo,0,
Cr,,Nb,Nb,Mo,C,MX3,0.000723629,0,2 5 8 6 43 6 53 6 19,Cr C Nb C Nb C Mo,0,
W,Ti,,,W,C,MX2,0.949056625,1,1 4 10 6 35 6 20,W C Ti C W,1,
Cr,Zr,,,Mo,N,MX2,0.000749862,0,1 4 8 7 36 7 19,Cr N Zr N Mo,0,
V,,,,Mo,N,MX1,0.000734972,0,0 3 12 7 19,V N Mo,0,
Ta,,,,Mo,C,MX1,0.000512247,0,0 3 14 6 19,Ta C Mo,0,
W,Nb,,,W,C,MX2,0.161704823,0,1 4 10 6 33 6 20,W C Nb C W,0,
Sc,V,,,Mo,C,MX2,0.000693729,0,1 4 11 6 32 6 19,Sc C V C Mo,0,
Cr,,Ti,Ti,Cr,N,MX3,0.998492718,1,2 5 8 7 45 7 55 7 18,Cr N Ti N Ti N Cr,1,
Sc,Ti,,,Mo,N,MX2,0.022173727,0,1 4 11 7 35 7 19,Sc N Ti N Mo,0,
Ta,,Ta,Ti,Ta,C,MX3,0.000596015,0,2 5 14 6 44 6 55 6 24,Ta C Ta C Ti C Ta,0,
Cr,,Ta,Ta,Mo,C,MX3,0.000709962,0,2 5 8 7 44 7 54 6 19,Cr C Ta C Ta C Mo,0,
Nb,Sc,,,Nb,C,MX2,0.004142374,0,1 4 13 6 31 6 23,Nb C Sc C Nb,0,
Cr,,,,Cr,N,MX1,0.998479307,1,0 3 8 7 18,Cr N Cr,1,
W,Ta,,,Mo,N,MX2,0.000852279,0,1 4 10 7 34 7 19,W N Ta N Mo,0,
Sc,,Ti,Ti,Sc,N,MX3,0.998105526,1,2 5 11 7 45 7 55 7 21,Sc N Ti N Ti N Sc,0,
Sc,Hf,,,Sc,N,MX2,0.925449252,1,1 4 11 7 37 7 21,Sc N Hf N Sc,0,
W,V,,,W,N,MX2,0.00152803,0,1 4 10 7 32 7 20,W N V N W,0,
W,Zr,,,W,N,MX2,0.702235222,1,1 4 10 7 36 7 20,W N Zr N W,0,
W,,V,Ti,Mo,C,MX3,0.000686232,0,2 5 10 6 42 6 55 6 19,W C V C Ti C Mo,0,
W,,Ti,Ti,W,N,MX3,0.998470485,1,2 5 10 7 45 7 55 7 20,W N Ti N Ti N W,1,
Sc,Hf,,,Mo,C,MX2,0.000549556,0,1 4 11 6 37 6 19,Sc C Hf C Mo,0,
Cr,Hf,,,Mo,N,MX2,0.000725743,0,1 4 8 7 37 7 19,Cr N Hf N Mo,0,
Ta,Sc,,,Ta,C,MX2,0.00281303,0,1 4 14 6 31 6 24,Ta C Sc C Ta,1,
Nb,Hf,,,Nb,N,MX2,0.997960687,1,1 4 13 7 37 7 23,Nb N Hf N Nb,1,
W,Ta,,,W,C,MX2,0.284892887,0,1 4 10 6 34 6 20,W C Ta C W,0,
Ta,,Hf,Hf,Mo,C,MX3,0.000438934,0,2 5 14 6 47 6 57 6 19,Ta C Hf C Hf C Mo,0,
Sc,Ta,,,Mo,N,MX2,0.105296843,0,1 4 11 7 34 7 19,Sc N Ta N Mo,0,
Nb,Zr,,,Nb,N,MX2,0.998067439,1,1 4 13 7 36 7 23,Nb N Zr N Nb,0,
Cr,V,,,Mo,N,MX2,0.000983178,0,1 4 8 7 32 7 19,Cr N V N Mo,0,
Sc,,Ta,Ta,Mo,C,MX3,0.000702356,0,2 5 11 6 44 6 54 6 19,Sc C Ta C Ta C Mo,0,
W,V,,,W,C,MX2,0.000703101,0,1 4 10 6 32 6 20,W C V C W,0,
Sc,,V,V,Sc,C,MX3,0.00078964,0,2 5 11 6 42 6 52 6 21,Sc C V C V C Sc,0,
Cr,,Hf,Hf,Cr,C,MX3,0.198675737,0,2 5 8 6 47 6 57 6 18,Cr C Hf C Hf C Cr,0,
W,Hf,,,Mo,N,MX2,0.000683214,0,1 4 10 7 37 7 19,W N Hf N Mo,0,
Cr,,Nb,Nb,Cr,C,MX3,0.263771087,0,2 5 8 6 43 6 53 6 18,Cr C Nb C Nb C Cr,0,
Cr,,Ta,Ta,Cr,C,MX3,0.030884782,0,2 5 8 6 44 6 54 6 18,Cr C Ta C Ta C Cr,1,
W,,V,V,Mo,C,MX3,0.000682177,0,2 5 10 6 42 6 52 6 19,W C V C V C Mo,0,
Sc,,Hf,Hf,Mo,C,MX3,0.000577485,0,2 5 11 6 47 6 57 6 19,Sc C Hf C Hf C Mo,0,
Sc,,Ti,Ti,Mo,N,MX3,0.000687664,0,2 5 11 7 45 7 55 7 19,Sc N Ti N Ti N Mo,0,
Cr,Ti,,,Mo,N,MX2,0.000833503,0,1 4 8 7 35 7 19,Cr N Ti N Mo,0,
Sc,Ta,,,Sc,N,MX2,0.997796893,1,1 4 11 7 34 7 21,Sc N Ta N Sc,1,
Nb,Ti,,,Mo,N,MX2,0.000615212,0,1 4 13 7 35 7 19,Nb N Ti N Mo,0,
W,V,,,Mo,N,MX2,0.00092851,0,1 4 10 7 32 7 19,W N V N Mo,0,
W,,Ti,Ti,Mo,N,MX3,0.000673219,0,2 5 10 7 45 7 55 7 19,W N Ti N Ti N Mo,0,
Ta,Sc,,,Mo,C,MX2,0.00056045,0,1 4 14 6 31 6 19,Ta C Sc C Mo,0,
Sc,Nb,,,Sc,N,MX2,0.997738838,1,1 4 11 7 33 7 21,Sc N Nb N Sc,1,
Sc,Zr,,,Sc,N,MX2,0.926282823,1,1 4 11 7 36 7 21,Sc N Zr N Sc,0,
W,,V,Ti,W,C,MX3,0.000720718,0,2 5 10 6 42 6 55 6 20,W C V C Ti C W,0,
Mo,,Hf,Ti,Mo,N,MX3,0.00366582,0,2 5 9 7 47 7 55 7 19,Mo N Hf N Ti N Mo,0,
Ta,,Hf,Hf,Ta,C,MX3,0.997561097,1,2 5 14 6 47 6 57 6 24,Ta C Hf C Hf C Ta,1,
W,Nb,,,Mo,N,MX2,0.000854829,0,1 4 10 7 33 7 19,W N Nb N Mo,0,
W,Hf,,,Mo,C,MX2,0.000527752,0,1 4 10 7 37 6 19,W C Hf C Mo,0,
Sc,,Nb,Nb,Mo,C,MX3,0.005318394,0,2 5 11 6 43 6 53 6 19,Sc C Nb C Nb C Mo,0,
W,Ti,,,Mo,N,MX2,0.000705516,0,1 4 10 7 35 7 19,W N Ti N Mo,0,
Ta,Hf,,,Mo,N,MX2,0.000599535,0,1 4 14 7 37 7 19,Ta N Hf N Mo,0,
Sc,,Hf,Hf,Sc,C,MX3,0.104799844,0,2 5 11 6 47 6 57 6 21,Sc C Hf C Hf C Sc,0,
Sc,,Zr,Ti,Mo,C,MX3,0.000582052,0,2 5 11 7 46 7 55 6 19,Sc C Zr C Ti C Mo,0,
Sc,,V,Ti,Mo,C,MX3,0.000704356,0,2 5 11 6 42 6 55 6 19,Sc C V C Ti C Mo,0,
Cr,Sc,,,Cr,C,MX2,0.037084516,0,1 4 8 7 31 6 18,Cr C Sc C Cr,0,
Cr,,Ta,Ti,Cr,C,MX3,0.00079985,0,2 5 8 6 44 6 55 6 18,Cr C Ta C Ti C Cr,0,
W,Hf,,,W,N,MX2,0.702810466,1,1 4 10 7 37 7 20,W N Hf N W,0,
W,Sc,,,Mo,N,MX2,0.000951088,0,1 4 10 7 31 7 19,W N Sc N Mo,0,
Cr,,Nb,Ti,Cr,C,MX3,0.000872523,0,2 5 8 6 43 6 55 6 18,Cr C Nb C Ti C Cr,0,
Cr,,Hf,Ti,Cr,C,MX3,0.000631787,0,2 5 8 6 47 6 55 6 18,Cr C Hf C Ti C Cr,0,
W,Nb,,,W,N,MX2,0.988207281,1,1 4 10 7 33 7 20,W N Nb N W,0,
Mo,,Zr,Ti,Mo,C,MX3,0.000598575,0,2 5 9 7 46 7 55 6 19,Mo C Zr C Ti C Mo,0,
Ta,Ti,,,Ta,N,MX2,0.998098791,1,1 4 14 7 35 7 24,Ta N Ti N Ta,1,
W,,Sc,Ti,Mo,C,MX3,0.000709876,0,2 5 10 6 41 6 55 6 19,W C Sc C Ti C Mo,0,
W,,Hf,Ti,W,C,MX3,0.000578701,0,2 5 10 6 47 6 55 6 20,W C Hf C Ti C W,0,
Nb,Hf,,,Mo,N,MX2,0.000593209,0,1 4 13 7 37 7 19,Nb N Hf N Mo,0,
Mo,,Hf,Hf,Mo,N,MX3,0.998505831,1,2 5 9 7 47 7 57 7 19,Mo N Hf N Hf N Mo,0,
Cr,,Nb,Ti,Mo,C,MX3,0.00073781,0,2 5 8 6 43 6 55 6 19,Cr C Nb C Ti C Mo,0,
Sc,Hf,,,Mo,N,MX2,0.000712599,0,1 4 11 7 37 7 19,Sc N Hf N Mo,0,
Sc,V,,,Sc,N,MX2,0.922492266,1,1 4 11 7 32 7 21,Sc N V N Sc,0,
Mo,,Zr,Zr,Mo,N,MX3,0.99851495,1,2 5 9 7 46 7 56 7 19,Mo N Zr N Zr N Mo,0,
Sc,Zr,,,Mo,N,MX2,0.000705681,0,1 4 11 7 36 7 19,Sc N Zr N Mo,0,
Ta,,Ta,Ta,Mo,C,MX3,0.000553804,0,2 5 14 6 44 6 54 6 19,Ta C Ta C Ta C Mo,0,
W,Hf,,,W,C,MX2,0.130726844,0,1 4 10 7 37 6 20,W C Hf C W,0,
Sc,,V,V,Mo,C,MX3,0.000711208,0,2 5 11 6 42 6 52 6 19,Sc C V C V C Mo,0,
W,,Sc,Ti,W,C,MX3,0.000758578,0,2 5 10 6 41 6 55 6 20,W C Sc C Ti C W,0,
W,,Hf,Hf,Mo,C,MX3,0.000526383,0,2 5 10 7 47 7 57 6 19,W C Hf C Hf C Mo,0,
Cr,,V,Ti,Cr,C,MX3,0.000809769,0,2 5 8 6 42 6 55 6 18,Cr C V C Ti C Cr,0,
W,,Sc,Sc,Mo,N,MX3,0.000932863,0,2 5 10 7 41 7 51 7 19,W N Sc N Sc N Mo,0,
Cr,,V,Ti,Mo,C,MX3,0.000732695,0,2 5 8 7 42 7 55 6 19,Cr C V C Ti C Mo,0,
W,,Sc,Ti,W,N,MX3,0.00167196,0,2 5 10 7 41 7 55 7 20,W N Sc N Ti N W,0,
Cr,Hf,,,Cr,N,MX2,0.943397522,1,1 4 8 7 37 7 18,Cr N Hf N Cr,0,
Cr,,Ti,Ti,Mo,N,MX3,0.000737637,0,2 5 8 7 45 7 55 7 19,Cr N Ti N Ti N Mo,0,
W,Sc,,,W,N,MX2,0.998337507,1,1 4 10 7 31 7 20,W N Sc N W,1,
Cr,,V,Ti,Cr,N,MX3,0.098787993,0,2 5 8 7 42 7 55 7 18,Cr N V N Ti N Cr,0,
Cr,,Hf,Hf,Mo,C,MX3,0.000562226,0,2 5 8 6 47 6 57 6 19,Cr C Hf C Hf C Mo,0,
Cr,Sc,,,Cr,N,MX2,0.95022583,1,1 4 8 7 31 7 18,Cr N Sc N Cr,0,
Ta,,Hf,Ti,Mo,C,MX3,0.000453799,0,2 5 14 6 47 6 55 6 19,Ta C Hf C Ti C Mo,0,
Sc,,Ta,Ti,Mo,N,MX3,0.000918109,0,2 5 11 7 44 7 55 7 19,Sc N Ta N Ti N Mo,0,
Cr,,Zr,Ti,Mo,N,MX3,0.000769018,0,2 5 8 7 46 7 55 7 19,Cr N Zr N Ti N Mo,0,
Mo,,Zr,Ti,Mo,N,MX3,0.00077334,0,2 5 9 7 46 7 55 7 19,Mo N Zr N Ti N Mo,0,
Cr,,Ta,Ti,Cr,N,MX3,0.01885879,0,2 5 8 7 44 7 55 7 18,Cr N Ta N Ti N Cr,0,
Sc,,Nb,Nb,Sc,C,MX3,0.998068154,1,2 5 11 6 43 6 53 6 21,Sc C Nb C Nb C Sc,1,
Sc,,V,Ti,Sc,C,MX3,0.000758917,0,2 5 11 6 42 6 55 6 21,Sc C V C Ti C Sc,0,
W,Ta,,,W,N,MX2,0.936196685,1,1 4 10 7 34 7 20,W N Ta N W,0,
Nb,Zr,,,Mo,N,MX2,0.000590721,0,1 4 13 7 36 7 19,Nb N Zr N Mo,0,
W,,Nb,Ti,W,C,MX3,0.00076411,0,2 5 10 6 43 6 55 6 20,W C Nb C Ti C W,0,
Mo,,Zr,Zr,Mo,C,MX3,0.99856478,1,2 5 9 7 46 7 56 6 19,Mo C Zr C Zr C Mo,1,
Cr,,Zr,Ti,Cr,C,MX3,0.000666881,0,2 5 8 7 46 7 55 6 18,Cr C Zr C Ti C Cr,0,
Cr,V,,,Cr,N,MX2,0.939953327,1,1 4 8 7 32 7 18,Cr N V N Cr,1,
Sc,,Nb,Ti,Sc,C,MX3,0.000829541,0,2 5 11 6 43 6 55 6 21,Sc C Nb C Ti C Sc,0,
Nb,Ti,,,Nb,N,MX2,0.998097837,1,1 4 13 7 35 7 23,Nb N Ti N Nb,1,
Ta,Ti,,,Mo,N,MX2,0.000623464,0,1 4 14 7 35 7 19,Ta N Ti N Mo,0,
Cr,,Zr,Zr,Mo,C,MX3,0.000605176,0,2 5 8 7 46 7 56 6 19,Cr C Zr C Zr C Mo,0,
Nb,Sc,,,Mo,N,MX2,0.000776365,0,1 4 13 7 31 7 19,Nb N Sc N Mo,0,
Ta,,Nb,Ti,Ta,C,MX3,0.000981485,0,2 5 14 6 43 6 55 6 24,Ta C Nb C Ti C Ta,0,
