outer_L,inner,inner_L,inner_R,outer_R,x,stoich,disc_prob,disc_valid,rules,layers,human_valid,reason
Hf,,,,Hf,C,MX1,0.985093176,1,0 3 17 6 27,Hf C Hf,1,
V,Ti,,,V,C,MX2,0.98455435,1,1 4 12 6 35 6 22,V C Ti C V,1,
W,,Ti,Ti,W,N,MX3,0.987869918,1,2 5 10 7 45 7 55 7 20,W N Ti N Ti N W,1,
Mo,Ti,,,Mo,C,MX2,0.98841387,1,1 4 9 6 35 6 19,Mo C Ti C Mo,1,
Mo,Zr,,,Mo,N,MX2,0.98836875,1,1 4 9 7 36 7 19,Mo N Zr N Mo,0,
W,,Hf,Hf,W,N,MX3,0.986789286,1,2 5 10 7 47 7 57 7 20,W N Hf N Hf N W,0,
W,,Ti,Ti,W,C,MX3,0.987708807,1,2 5 10 6 45 6 55 6 20,W C Ti C Ti C W,1,
Sc,,Ti,Ti,Sc,N,MX3,0.956501603,1,2 5 11 7 45 7 55 7 21,Sc N Ti N Ti N Sc,0,
Cr,Zr,,,Cr,N,MX2,0.987923682,1,1 4 8 7 36 7 18,Cr N Zr N Cr,0,
Nb,Ti,,,Nb,C,MX2,0.987675786,1,1 4 13 6 35 6 23,Nb C Ti C Nb,0,
Cr,,V,V,Cr,N,MX3,0.984495103,1,2 5 8 7 42 7 52 7 18,Cr N V N V N Cr,1,
Cr,,Ti,Ti,Cr,C,MX3,0.986607075,1,2 5 8 6 45 6 55 6 18,Cr C Ti C Ti C Cr,1,
Mo,Hf,,,Mo,C,MX2,0.988263071,1,1 4 9 6 37 6 19,Mo C Hf C Mo,1,
Mo,,Nb,Nb,Mo,N,MX3,0.98725152,1,2 5 9 7 43 7 53 7 19,Mo N Nb N Nb N Mo,1,
Cr,,Hf,Hf,Cr,C,MX3,0.005310409,0,2 5 8 6 47 6 57 6 18,Cr C Hf C Hf C Cr,0,
Ta,Hf,,,Ta,N,MX2,0.986919582,1,1 4 14 7 37 7 24,Ta N Hf N Ta,1,
Mo,,,,Mo,C,MX1,0.987943351,1,0 3 9 6 19,Mo C Mo,1,
Nb,Sc,,,Nb,C,MX2,0.001844954,0,1 4 13 6 31 6 23,Nb C Sc C Nb,0,
Sc,Nb,,,Sc,N,MX2,0.986780822,1,1 4 11 7 33 7 21,Sc N Nb N Sc,1,
Ta,,Zr,Zr,Ta,C,MX3,0.976184249,1,2 5 14 6 46 6 56 6 24,Ta C Zr C Zr C Ta,1,
Mo,Nb,,,Mo,N,MX2,0.988028944,1,1 4 9 7 33 7 19,Mo N Nb N Mo,1,
Cr,,,,Cr,C,MX1,0.988334298,1,0 3 8 6 18,Cr C Cr,1,
Mo,,Nb,Nb,Mo,C,MX3,0.976559639,1,2 5 9 6 43 6 53 6 19,Mo C Nb C Nb C Mo,1,
W,,Ta,Ta,W,C,MX3,0.006073508,0,2 5 10 6 44 6 54 6 20,W C Ta C Ta C W,0,
Nb,,Ti,Ti,Nb,C,MX3,0.987088978,1,2 5 13 6 45 6 55 6 23,Nb C Ti C Ti C Nb,1,
Mo,Hf,,,Mo,N,MX2,0.988373756,1,1 4 9 7 37 7 19,Mo N Hf N Mo,1,
Cr,V,,,Cr,N,MX2,0.979938507,1,1 4 8 7 32 7 18,Cr N V N Cr,1,
Cr,,Zr,Zr,Cr,C,MX3,0.004859852,0,2 5 8 6 46 6 56 6 18,Cr C Zr C Zr C Cr,0,
Nb,Zr,,,Nb,N,MX2,0.987636268,1,1 4 13 7 36 7 23,Nb N Zr N Nb,0,
W,Ti,,,W,C,MX2,0.988347232,1,1 4 10 6 35 6 20,W C Ti C W,1,
Mo,,Sc,Sc,Mo,N,MX3,0.987376928,1,2 5 9 7 41 7 51 7 19,Mo N Sc N Sc N Mo,1,
W,Ta,,,W,N,MX2,0.986607909,1,1 4 10 7 34 7 20,W N Ta N W,0,
Cr,,Sc,Sc,Cr,C,MX3,0.003333073,0,2 5 8 6 41 6 51 6 18,Cr C Sc C Sc C Cr,0,
Ta,,,,Ta,N,MX1,0.987090528,1,0 3 14 7 24,Ta N Ta,1,
Cr,V,,,Cr,C,MX2,0.577687979,1,1 4 8 6 32 6 18,Cr C V C Cr,1,
Sc,,Nb,Nb,Sc,C,MX3,0.983022869,1,2 5 11 6 43 6 53 6 21,Sc C Nb C Nb C Sc,1,
Mo,Ti,,,Mo,N,MX2,0.988253176,1,1 4 9 7 35 7 19,Mo N Ti N Mo,1,
Ta,Zr,,,Ta,C,MX2,0.98646009,1,1 4 14 6 36 6 24,Ta C Zr C Ta,1,
V,,Ti,Ti,V,C,MX3,0.973837078,1,2 5 12 6 45 6 55 6 22,V C Ti C Ti C V,1,
Nb,,,,Nb,N,MX1,0.987271607,1,0 3 13 7 23,Nb N Nb,1,
W,Nb,,,W,C,MX2,0.003082559,0,1 4 10 6 33 6 20,W C Nb C W,0,
W,Sc,,,W,C,MX2,0.575812042,1,1 4 10 6 31 6 20,W C Sc C W,1,
Mo,Nb,,,Mo,C,MX2,0.988232553,1,1 4 9 6 33 6 19,Mo C Nb C Mo,1,
Mo,,Hf,Hf,Mo,C,MX3,0.986256182,1,2 5 9 6 47 6 57 6 19,Mo C Hf C Hf C Mo,1,
Sc,,Ta,Ta,Sc,C,MX3,0.985880733,1,2 5 11 6 44 6 54 6 21,Sc C Ta C Ta C Sc,1,
V,Hf,,,V,N,MX2,0.904759407,1,1 4 12 7 37 7 22,V N Hf N V,0,
Nb,,Nb,Nb,Nb,C,MX3,0.701720834,1,2 5 13 6 43 6 53 6 23,Nb C Nb C Nb C Nb,1,
W,Nb,,,W,N,MX2,0.986579955,1,1 4 10 7 33 7 20,W N Nb N W,0,
Mo,,Ta,Ta,Mo,C,MX3,0.987692177,1,2 5 9 6 44 6 54 6 19,Mo C Ta C Ta C Mo,1,
Cr,Ta,,,Cr,C,MX2,0.001685178,0,1 4 8 6 34 6 18,Cr C Ta C Cr,0,
Cr,,Ta,Ta,Cr,N,MX3,0.987495363,1,2 5 8 7 44 7 54 7 18,Cr N Ta N Ta N Cr,0,
Ta,Hf,,,Ta,C,MX2,0.979872823,1,1 4 14 6 37 6 24,Ta C Hf C Ta,1,
W,V,,,W,N,MX2,0.976453006,1,1 4 10 7 32 7 20,W N V N W,0,
W,,Zr,Zr,W,C,MX3,0.003008699,0,2 5 10 6 46 6 56 6 20,W C Zr C Zr C W,0,
Mo,Sc,,,Mo,N,MX2,0.987361789,1,1 4 9 7 31 7 19,Mo N Sc N Mo,1,
Sc,,Mo,Mo,Sc,C,MX3,0.011509179,0,2 5 11 6 39 6 49 6 21,Sc C Mo C Mo C Sc,1,
Ti,,,,Ti,N,MX1,0.98339051,1,0 3 15 7 25,Ti N Ti,1,
W,,Sc,Sc,W,N,MX3,0.985103071,1,2 5 10 7 41 7 51 7 20,W N Sc N Sc N W,1,
Cr,,V,V,Cr,C,MX3,0.574365973,1,2 5 8 6 42 6 52 6 18,Cr C V C V C Cr,1,
Sc,,Hf,Hf,Sc,C,MX3,0.00181587,0,2 5 11 6 47 6 57 6 21,Sc C Hf C Hf C Sc,0,
V,,Cr,Cr,V,C,MX3,0.010869826,0,2 5 12 6 38 6 48 6 22,V C Cr C Cr C V,1,
Nb,Hf,,,Nb,N,MX2,0.987374485,1,1 4 13 7 37 7 23,Nb N Hf N Nb,1,
Sc,Ta,,,Sc,N,MX2,0.986951053,1,1 4 11 7 34 7 21,Sc N Ta N Sc,1,
Nb,,Hf,Hf,Nb,N,MX3,0.987092733,1,2 5 13 7 47 7 57 7 23,Nb N Hf N Hf N Nb,1,
Sc,Ti,,,Sc,N,MX2,0.922697842,1,1 4 11 7 35 7 21,Sc N Ti N Sc,0,
Nb,,,,Nb,C,MX1,0.987303793,1,0 3 13 6 23,Nb C Nb,1,
Cr,,Hf,Hf,Cr,N,MX3,0.986862898,1,2 5 8 7 47 7 57 7 18,Cr N Hf N Hf N Cr,0,
Mo,Zr,,,Mo,C,MX2,0.988623202,1,1 4 9 6 36 6 19,Mo C Zr C Mo,1,
W,Hf,,,W,N,MX2,0.986729145,1,1 4 10 7 37 7 20,W N Hf N W,0,
Sc,W,,,Sc,C,MX2,0.004128761,0,1 4 11 6 30 6 21,Sc C W C Sc,1,
Cr,Ta,,,Cr,N,MX2,0.986612678,1,1 4 8 7 34 7 18,Cr N Ta N Cr,0,
W,,V,V,W,N,MX3,0.979397953,1,2 5 10 7 42 7 52 7 20,W N V N V N W,0,
Cr,,,,Cr,N,MX1,0.987974286,1,0 3 8 7 18,Cr N Cr,1,
W,Zr,,,W,N,MX2,0.987802088,1,1 4 10 7 36 7 20,W N Zr N W,0,
Sc,Nb,,,Sc,C,MX2,0.985105634,1,1 4 11 6 33 6 21,Sc C Nb C Sc,1,
Ta,Ti,,,Ta,N,MX2,0.987431884,1,1 4 14 7 35 7 24,Ta N Ti N Ta,1,
Nb,,Sc,Sc,Nb,C,MX3,0.002754427,0,2 5 13 6 41 6 51 6 23,Nb C Sc C Sc C Nb,1,
Nb,,Hf,Hf,Nb,C,MX3,0.981110334,1,2 5 13 6 47 6 57 6 23,Nb C Hf C Hf C Nb,1,
V,Zr,,,V,N,MX2,0.893927932,1,1 4 12 7 36 7 22,V N Zr N V,0,
Ta,,Zr,Zr,Ta,N,MX3,0.986735702,1,2 5 14 7 46 7 56 7 24,Ta N Zr N Zr N Ta,1,
Nb,Hf,,,Nb,C,MX2,0.984493911,1,1 4 13 6 37 6 23,Nb C Hf C Nb,0,
Zr,,,,Zr,N,MX1,0.985613406,1,0 3 16 7 26,Zr N Zr,1,
Zr,,,,Zr,C,MX1,0.922677994,1,0 3 16 6 26,Zr C Zr,1,
W,,,,W,N,MX1,0.988000333,1,0 3 10 7 20,W N W,1,
Sc,Zr,,,Sc,N,MX2,0.96727699,1,1 4 11 7 36 7 21,Sc N Zr N Sc,0,
Mo,,Ta,Ta,Mo,N,MX3,0.98759973,1,2 5 9 7 44 7 54 7 19,Mo N Ta N Ta N Mo,1,
Nb,,Zr,Zr,Nb,C,MX3,0.970249236,1,2 5 13 6 46 6 56 6 23,Nb C Zr C Zr C Nb,1,
W,Ta,,,W,C,MX2,0.003911643,0,1 4 10 6 34 6 20,W C Ta C W,0,
W,Hf,,,W,C,MX2,0.001711602,0,1 4 10 6 37 6 20,W C Hf C W,0,
Nb,,Ti,Ti,Nb,N,MX3,0.987206578,1,2 5 13 7 45 7 55 7 23,Nb N Ti N Ti N Nb,1,
Sc,,Hf,Hf,Sc,N,MX3,0.973556995,1,2 5 11 7 47 7 57 7 21,Sc N Hf N Hf N Sc,0,
Sc,V,,,Sc,C,MX2,0.011824264,0,1 4 11 6 32 6 21,Sc C V C Sc,0,
Cr,Hf,,,Cr,C,MX2,0.001384047,0,1 4 8 6 37 6 18,Cr C Hf C Cr,0,
Ta,,Sc,Sc,Ta,C,MX3,0.002602312,0,2 5 14 6 41 6 51 6 24,Ta C Sc C Sc C Ta,1,
Ta,Zr,,,Ta,N,MX2,0.987392128,1,1 4 14 7 36 7 24,Ta N Zr N Ta,1,
V,,Zr,Zr,V,C,MX3,0.001448628,0,2 5 12 6 46 6 56 6 22,V C Zr C Zr C V,0,
Ta,,Hf,Hf,Ta,N,MX3,0.986841083,1,2 5 14 7 47 7 57 7 24,Ta N Hf N Hf N Ta,1,
W,Sc,,,W,N,MX2,0.960088372,1,1 4 10 7 31 7 20,W N Sc N W,1,
Cr,Hf,,,Cr,N,MX2,0.986249566,1,1 4 8 7 37 7 18,Cr N Hf N Cr,0,
Sc,V,,,Sc,N,MX2,0.971009135,1,1 4 11 7 32 7 21,Sc N V N Sc,0,
Cr,Zr,,,Cr,C,MX2,0.001868051,0,1 4 8 6 36 6 18,Cr C Zr C Cr,0,
Cr,Nb,,,Cr,N,MX2,0.986167371,1,1 4 8 7 33 7 18,Cr N Nb N Cr,0,
Sc,,Ti,Ti,Sc,C,MX3,0.002778784,0,2 5 11 6 45 6 55 6 21,Sc C Ti C Ti C Sc,0,
V,,Hf,Hf,V,N,MX3,0.954717934,1,2 5 12 7 47 7 57 7 22,V N Hf N Hf N V,0,
W,,Zr,Zr,W,N,MX3,0.986845613,1,2 5 10 7 46 7 56 7 20,W N Zr N Zr N W,0,
V,Ta,,,V,C,MX2,0.001759889,0,1 4 12 6 34 6 22,V C Ta C V,1,
Sc,Ti,,,Sc,C,MX2,0.004599628,0,1 4 11 6 35 6 21,Sc C Ti C Sc,0,
W,V,,,W,C,MX2,0.504141629,1,1 4 10 6 32 6 20,W C V C W,0,
Sc,,W,W,Sc,C,MX3,0.008753998,0,2 5 11 6 40 6 50 6 21,Sc C W C W C Sc,1,
Ta,,Ti,Ti,Ta,N,MX3,0.987120211,1,2 5 14 7 45 7 55 7 24,Ta N Ti N Ti N Ta,1,
V,,Zr,Zr,V,N,MX3,0.953812778,1,2 5 12 7 46 7 56 7 22,V N Zr N Zr N V,0,
Nb,,Zr,Zr,Nb,N,MX3,0.986778378,1,2 5 13 7 46 7 56 7 23,Nb N Zr N Zr N Nb,1,
Sc,Zr,,,Sc,C,MX2,0.002693573,0,1 4 11 6 36 6 21,Sc C Zr C Sc,0,
Sc,,Ta,Ta,Sc,N,MX3,0.986547232,1,2 5 11 7 44 7 54 7 21,Sc N Ta N Ta N Sc,1,
Cr,,Zr,Zr,Cr,N,MX3,0.986946404,1,2 5 8 7 46 7 56 7 18,Cr N Zr N Zr N Cr,0,
V,,V,V,V,C,MX3,0.578578591,1,2 5 12 6 42 6 52 6 22,V C V C V C V,1,
W,,Hf,Hf,W,C,MX3,0.003815899,0,2 5 10 6 47 6 57 6 20,W C Hf C Hf C W,0,
V,Zr,,,V,C,MX2,0.001852329,0,1 4 12 6 36 6 22,V C Zr C V,0,
Cr,,Sc,Sc,Cr,N,MX3,0.98609817,1,2 5 8 7 41 7 51 7 18,Cr N Sc N Sc N Cr,0,
V,,Hf,Hf,V,C,MX3,0.001475337,0,2 5 12 6 47 6 57 6 22,V C Hf C Hf C V,0,
Nb,,Mo,Mo,Nb,C,MX3,0.001445514,0,2 5 13 6 39 6 49 6 23,Nb C Mo C Mo C Nb,1,
Ta,,Ta,Ta,Ta,C,MX3,0.985273898,1,2 5 14 6 44 6 54 6 24,Ta C Ta C Ta C Ta,1,
Nb,,Sc,Sc,Nb,N,MX3,0.98491621,1,2 5 13 7 41 7 51 7 23,Nb N Sc N Sc N Nb,1,
V,,V,V,V,N,MX3,0.87179786,1,2 5 12 7 42 7 52 7 22,V N V N V N V,1,
V,Cr,,,V,C,MX2,0.016426852,0,1 4 12 6 28 6 22,V C Cr C V,1,
V,Hf,,,V,C,MX2,0.001236079,0,1 4 12 6 37 6 22,V C Hf C V,0,
Ta,,Sc,Sc,Ta,N,MX3,0.984880567,1,2 5 14 7 41 7 51 7 24,Ta N Sc N Sc N Ta,1,
Sc,,W,Hf,Sc,C,MX3,0.003244301,0,2 5 11 6 40 6 57 6 21,Sc C W C Hf C Sc,0,
Sc,,W,Ti,Sc,C,MX3,0.003847718,0,2 5 11 6 40 6 55 6 21,Sc C W C Ti C Sc,0,
V,Ta,,,V,N,MX2,0.77054745,1,1 4 12 7 34 7 22,V N Ta N V,1,
Ta,,Cr,Ti,Ta,C,MX3,0.19013986,0,2 5 14 6 38 6 55 6 24,Ta C Cr C Ti C Ta,0,
V,,Cr,Ti,V,C,MX3,0.002032914,0,2 5 12 6 38 6 55 6 22,V C Cr C Ti C V,0,
Ta,,Cr,Sc,Ta,C,MX3,0.001408887,0,2 5 14 6 38 6 51 6 24,Ta C Cr C Sc C Ta,0,
Nb,,Mo,Zr,Nb,C,MX3,0.001510993,0,2 5 13 6 39 6 56 6 23,Nb C Mo C Zr C Nb,0,
